Date,EE_BC1,EE_BC2,EE_BC3,Q_BC1,T_SAL_BC1,T_ENT_BC1,ET_BC1_Frio,ET_BC1_Calor,Q_BC2,T_SAL_BC2,T_ENT_BC2,ET_BC2_Frio,ET_BC2_Calor,Q_BC3,T_SAL_BC3,T_ENT_BC3,ET_BC3_Frio,ET_BC3_Calor,Q_TER,T_IMP_TER,T_RET_TER,ET_TER_Frio,ET_TER_Calor,EE_TER,EE_BC1_TER,EE_BC2_TER
08-02-2024;04:30:00.000,"53.91","111.01","2895.589","0","44.47","45.43","0.01","0.219","0","44.91","44.4","0","0.48","0","17.29","17.63","0.712","1.291","32.88","15.75","15.69","0.345","0","45.033","0","0"
08-02-2024;04:40:00.000,"53.91","111.01","2895.589","0","43.11","44.97","0.01","0.219","0","44.01","42.2","0","0.48","0","17.33","17.66","0.712","1.291","32.54","15.79","15.79","0.345","0","45.418","0","0"
08-02-2024;04:50:00.000,"53.91","111.01","2895.589","0","42.08","44.46","0.01","0.219","0","42.92","40.08","0","0.48","0","17.32","17.65","0.712","1.291","32.3","15.91","15.89","0.345","0","45.8","0","0"
08-02-2024;05:00:00.000,"53.91","111.01","2895.589","0","41.15","43.87","0.01","0.219","0","41.93","38.61","0","0.48","0","17.33","17.65","0.712","1.291","32.62","15.93","15.91","0.345","0","46.186","0","0"
08-02-2024;05:10:00.000,"54.724","111.01","2895.589","16.79","44.91","42.33","0.01","0.223","0","41.57","37.49","0","0.48","0","17.35","17.65","0.712","1.291","34.45","15","15.95","0.347","0","46.571","0","0"
08-02-2024;05:20:00.000,"57.05","116.43","2895.589","16.7","49.3","45.57","0.01","0.234","15.96","47.34","45.68","0","0.49","0","17.35","17.65","0.712","1.291","36.97","14.07","15.96","0.357","0","46.965","0","0"
08-02-2024;05:30:00.000,"57.598","118.21","2895.589","0","45.43","45.27","0.01","0.237","0","46.12","46.33","0","0.5","0","17.36","17.68","0.712","1.291","32.55","15.86","15.8","0.361","0","47.355","0","0"
08-02-2024;05:40:00.000,"57.598","118.21","2895.589","0","44.15","45.21","0.01","0.237","0","44.88","43.5","0","0.5","0","17.38","17.69","0.712","1.291","32.6","15.69","15.64","0.361","0","47.739","0","0"
08-02-2024;05:50:00.000,"57.598","118.21","2895.589","0","43.13","44.83","0.01","0.237","0","43.78","41.56","0","0.5","0","17.39","17.7","0.712","1.291","32.88","15.88","15.88","0.361","0","48.123","0","0"
08-02-2024;06:00:00.000,"57.598","118.21","2895.589","0","42.24","44.36","0.01","0.237","0","43.08","39.89","0","0.5","0","17.42","17.71","0.712","1.291","32.79","15.91","15.91","0.361","0","48.507","0","0"
08-02-2024;06:10:00.000,"57.598","118.21","2895.589","0","41.44","43.83","0.01","0.237","0","42.18","38.4","0","0.5","0","17.43","17.72","0.712","1.291","32.74","15.96","15.94","0.361","0","48.891","0","0"
08-02-2024;06:20:00.000,"58.906","118.21","2895.589","16.81","45.58","42.38","0.01","0.243","0","41.69","37.37","0","0.5","0","17.43","17.71","0.712","1.291","34.28","14.75","15.97","0.365","0","49.279","0","0"
08-02-2024;06:30:00.000,"61.433","126.64","2895.589","16.69","50","46.16","0.01","0.254","16.1","47.78","46.46","0","0.54","0","17.46","17.75","0.712","1.291","36.94","14.29","15.97","0.377","0","49.675","0","0"
08-02-2024;06:40:00.000,"61.585","126.71","2895.589","0","44.98","45.15","0.01","0.257","0","45.69","45.95","0","0.54","0","17.47","17.75","0.712","1.291","32.74","15.83","15.78","0.378","0","50.06","0","0"
08-02-2024;06:50:00.000,"61.585","126.71","2895.589","0","43.7","45.03","0.01","0.257","0","44.46","43.37","0","0.54","0","17.5","17.77","0.712","1.291","24.05","15.73","15.71","0.378","0","50.432","0","0"
08-02-2024;07:00:00.000,"61.585","126.71","2895.589","0","42.53","44.55","0.01","0.257","0","43.28","41.24","0","0.54","0","17.52","17.8","0.712","1.291","24.01","15.88","15.84","0.378","0","50.774","0","0"
08-02-2024;07:10:00.000,"61.801","126.71","2895.589","16.87","43.73","42.17","0.01","0.257","0","42.34","39.59","0","0.54","0","17.51","17.79","0.712","1.291","25.76","14.78","15.69","0.379","0","51.129","0","0"
08-02-2024;07:20:00.000,"63.677","126.92","2895.589","16.81","47.05","43.43","0.01","0.266","16.1","43.36","43.54","0","0.54","0","17.54","17.81","0.712","1.291","26.74","14.05","15.69","0.386","0","51.482","0","0"
08-02-2024;07:30:00.000,"65.485","134.84","2895.589","0","45.82","45.67","0.01","0.275","0","46.38","46.36","0","0.57","0","17.56","17.83","0.712","1.291","23.94","15.06","15.04","0.395","0","51.84","0","0"
08-02-2024;07:40:00.000,"65.485","134.84","2895.589","0","44.32","45.21","0.01","0.275","0","45.02","44.82","0","0.57","0","17.57","17.87","0.712","1.291","32.78","13.88","13.86","0.395","0","52.21","0","0"
08-02-2024;07:50:00.000,"65.485","134.84","2895.589","0","42.91","44.75","0.01","0.275","0","43.59","41.92","0","0.57","0","17.56","17.86","0.712","1.291","32.67","14.54","14.54","0.395","0","52.596","0","0"
08-02-2024;08:00:00.000,"65.485","134.84","2895.589","0","41.71","44.17","0.01","0.275","0","42.77","39.97","0","0.57","0","17.58","17.88","0.712","1.291","32.61","15.01","14.98","0.395","0","52.978","0","0"
